task_id,dataset_name,target_name,n_samples,n_features,missing_data,categorical_features,fold_id,regressor_name,time_on_fold,R2,MSE,RMSE
361617.0,energy_efficiency,heating_load,768,8,0,0.0,2.0,PySRRegressor_validation,129.02618956565857,0.9230133245470824,7.793862300531612,2.791748968036276
361617.0,energy_efficiency,heating_load,768,8,0,0.0,3.0,PySRRegressor_default,124.96480989456175,0.9345087708201958,5.864547796086919,2.421682843827184
361617.0,energy_efficiency,heating_load,768,8,0,0.0,3.0,PySRRegressor_validation,124.96480989456175,0.9378269768506085,5.567412162715429,2.359536429622444
361617.0,energy_efficiency,heating_load,768,8,0,0.0,4.0,PySRRegressor_default,128.00682044029236,0.9028306480426552,9.56204888759711,3.092256277800582
361617.0,energy_efficiency,heating_load,768,8,0,0.0,4.0,PySRRegressor_validation,128.00682044029236,0.9287736670775296,7.009099718889819,2.647470437774484
361617.0,energy_efficiency,heating_load,768,8,0,0.0,5.0,PySRRegressor_default,135.8313548564911,0.9124483934522992,7.973001672138574,2.823650416064031
361617.0,energy_efficiency,heating_load,768,8,0,0.0,5.0,PySRRegressor_validation,135.8313548564911,0.9294915672361128,6.420942738726999,2.533957919683553
361617.0,energy_efficiency,heating_load,768,8,0,0.0,6.0,PySRRegressor_default,134.9670329093933,0.9313277579366588,7.887985792961757,2.8085558198052176
361617.0,energy_efficiency,heating_load,768,8,0,0.0,6.0,PySRRegressor_validation,134.9670329093933,0.9388883672582478,7.019542050294692,2.6494418374998707
361617.0,energy_efficiency,heating_load,768,8,0,0.0,7.0,PySRRegressor_default,132.0641851425171,0.9773372418064196,2.5626087985317216,1.600815041949482
361617.0,energy_efficiency,heating_load,768,8,0,0.0,7.0,PySRRegressor_validation,132.0641851425171,0.98027074606107,2.230900550608622,1.493619948517233
361617.0,energy_efficiency,heating_load,768,8,0,0.0,8.0,PySRRegressor_default,137.1443374156952,0.9278800776809176,7.823567269038286,2.797064044500641
361617.0,energy_efficiency,heating_load,768,8,0,0.0,8.0,PySRRegressor_validation,137.1443374156952,0.9467567492782252,5.775826432550951,2.4032949116891484
361617.0,energy_efficiency,heating_load,768,8,0,0.0,9.0,PySRRegressor_default,132.2510666847229,0.960593857788032,3.9905370515826206,1.997632862060149
361617.0,energy_efficiency,heating_load,768,8,0,0.0,9.0,PySRRegressor_validation,132.2510666847229,0.966038066612907,3.4392190130048874,1.8545131471642056
361622.0,cars,Price,804,17,0,0.0,0.0,PySRRegressor_default,129.86148762702942,0.8979954288462942,13182013.715384409,3630.704300185352
361622.0,cars,Price,804,17,0,0.0,0.0,PySRRegressor_validation,129.86148762702942,0.9121827142756964,11348595.967540083,3368.767722408312
361622.0,cars,Price,804,17,0,0.0,1.0,PySRRegressor_default,129.37229681015015,0.8690816616340231,11415188.435502077,3378.6370677393093
361622.0,cars,Price,804,17,0,0.0,1.0,PySRRegressor_validation,129.37229681015015,0.8774256218456681,10687651.87108283,3269.197435316936
361622.0,cars,Price,804,17,0,0.0,2.0,PySRRegressor_default,130.572007894516,0.8876862573178889,10437989.502686378,3230.7877526520338
361622.0,cars,Price,804,17,0,0.0,2.0,PySRRegressor_validation,130.572007894516,0.9105449535549384,8313593.80836122,2883.3303328549123
361622.0,cars,Price,804,17,0,0.0,3.0,PySRRegressor_default,149.41792750358582,0.8859071269740915,11572744.38640501,3401.873658207343
361622.0,cars,Price,804,17,0,0.0,3.0,PySRRegressor_validation,149.41792750358582,0.8982228181486163,10323530.985736998,3213.0252077655723
361622.0,cars,Price,804,17,0,0.0,4.0,PySRRegressor_default,146.63051962852478,0.8388828912204933,9354783.147173302,3058.558998478418
361622.0,cars,Price,804,17,0,0.0,4.0,PySRRegressor_validation,146.63051962852478,0.8470743219541134,8879172.215729792,2979.793988806909
361622.0,cars,Price,804,17,0,0.0,5.0,PySRRegressor_default,135.03105425834656,0.9161523938841976,10222989.948968887,3197.3410748571832
361622.0,cars,Price,804,17,0,0.0,5.0,PySRRegressor_validation,135.03105425834656,0.9301828001697384,8512354.319861718,2917.5939264849244
361622.0,cars,Price,804,17,0,0.0,6.0,PySRRegressor_default,139.30341482162476,0.8941951626556135,13628533.021944648,3691.6843069180018
361622.0,cars,Price,804,17,0,0.0,6.0,PySRRegressor_validation,139.30341482162476,0.92444608515437,9731965.468264043,3119.609826286621
361622.0,cars,Price,804,17,0,0.0,7.0,PySRRegressor_default,56.467395067214966,0.8861806086718236,8574604.108944245,2928.242494901036
361622.0,cars,Price,804,17,0,0.0,7.0,PySRRegressor_validation,56.467395067214966,0.9096589022073016,6805862.685614621,2608.804838544773
361622.0,cars,Price,804,17,0,0.0,8.0,PySRRegressor_default,113.78856253623962,0.927170211410608,8515346.511957664,2918.106665623733
361622.0,cars,Price,804,17,0,0.0,8.0,PySRRegressor_validation,113.78856253623962,0.9427997793656894,6687918.620877768,2586.101046146064
361622.0,cars,Price,804,17,0,0.0,9.0,PySRRegressor_default,158.5146164894104,0.8474210644971183,7460987.256930739,2731.48078099238
361622.0,cars,Price,804,17,0,0.0,9.0,PySRRegressor_validation,158.5146164894104,0.8515489098322486,7259138.939255151,2694.2789275157
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,0.0,PySRRegressor_default,54.669217109680176,0.4235070505935152,1.2777027867670894,1.1303551595702517
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,0.0,PySRRegressor_validation,54.669217109680176,0.5585493385980045,0.9784035361997088,0.989142829018999
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,1.0,PySRRegressor_default,47.2051842212677,0.4024003688124163,1.3684077868607205,1.1697896335926046
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,1.0,PySRRegressor_validation,47.2051842212677,0.4645386751452066,1.2261209817648913,1.107303473201855
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,2.0,PySRRegressor_default,53.372206687927246,0.344699460618513,1.3036911760100405,1.1417929654758083
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,2.0,PySRRegressor_validation,53.372206687927246,0.4445497432858452,1.1050434951178878,1.0512104903956618
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,3.0,PySRRegressor_default,54.59504103660584,0.4433771806567631,1.3145272726722992,1.1465283566804176
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,3.0,PySRRegressor_validation,54.59504103660584,0.6091273545123574,0.9230896304993896,0.9607755359600856
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,4.0,PySRRegressor_default,111.27144169807434,0.3978586462879064,0.9068678582473928,0.9522960979902167
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,4.0,PySRRegressor_validation,111.27144169807434,0.5090151292510435,0.7394582607938167,0.8599175895362396
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,5.0,PySRRegressor_default,124.06140446662904,0.4809550378912816,1.1981731947840266,1.0946109787426883
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,5.0,PySRRegressor_validation,124.06140446662904,0.6352991267951031,0.8418823845493897,0.91754148927958
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,6.0,PySRRegressor_default,127.56968188285828,0.4483143151315116,1.0690776155701232,1.0339620958091855
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,6.0,PySRRegressor_validation,127.56968188285828,0.6592309105662094,0.6603553718794123,0.8126225273024446
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,7.0,PySRRegressor_default,128.31082940101624,0.5369922034520307,1.199784111459891,1.0953465713918544
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,7.0,PySRRegressor_validation,128.31082940101624,0.6699846764488651,0.8551630116965542,0.924750242874558
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,8.0,PySRRegressor_default,122.99095892906188,0.205760828910314,1.587512855335628,1.2599654183094184
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,8.0,PySRRegressor_validation,122.99095892906188,0.5246401365975494,0.9501418735449954,0.974752211356812
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,9.0,PySRRegressor_default,121.89518308639526,0.394757121516766,1.14975453762409,1.0722660759457467
361621.0,QSAR_fish_toxicity,LC50,908,6,0,0.0,9.0,PySRRegressor_validation,121.89518308639526,0.5720269039454334,0.813002559241842,0.9016665454822208
361237.0,concrete_compressive_strength,strength,"1,030",8,0,0.0,0.0,PySRRegressor_default,129.5150637626648,0.7494160328537918,68.37110808204731,8.268682366740624
